Date : 2020-07-14 15:46:28
Directory : c:\Users\Selcuk\Desktop\dark-lyst-website
Total : 139 files,  41587 codes, 176 comments, 1597 blanks, all 43360 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |     20,855 |          0 |          5 |     20,860 |
| JavaScript |        116 |     20,045 |        163 |      1,523 |     21,731 |
| CSS        |         14 |        632 |         11 |         65 |        708 |
| XML        |          4 |         55 |          2 |          4 |         61 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\profileContainerStyles.module.css         | CSS        |          9 |          0 |          1 |         10 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\searchBox.module.css                      | CSS        |         34 |          0 |          7 |         41 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\smallLoader.module.css                    | CSS        |        172 |          0 |          1 |        173 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\styles\userDropDownStyles.module.css             | CSS        |         44 |          0 |         10 |         54 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\tests\setup.js                                   | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\tests\setupAfterEnv.js                           | JavaScript |          2 |          0 |          2 |          4 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\utils\googleAuthHelpers.js                       | JavaScript |         19 |          0 |          5 |         24 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\utils\noAccountPassResetMailer.js                | JavaScript |         34 |          5 |          5 |         44 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\utils\passResetMailer.js                         | JavaScript |         30 |          5 |          5 |         40 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\utils\randomStringGenerator.js                   | JavaScript |         16 |          0 |          3 |         19 |
| c:\Users\Selcuk\Desktop\dark-lyst-website\utils\setAuthToken.js                            | JavaScript |         14 |          0 |          4 |         18 |
| Total                                                                                      |            |     41,587 |        176 |      1,597 |     43,360 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
