"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\movieActions.js", "JavaScript", 49, 0, 0, 0, 0, 8, 57
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\personActions.js", "JavaScript", 54, 0, 0, 0, 0, 9, 63
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\showActions.js", "JavaScript", 49, 0, 0, 0, 0, 8, 57
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\actions\types.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\alertReducer.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\authReducer.js", "JavaScript", 182, 0, 0, 0, 0, 6, 188
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\index.js", "JavaScript", 13, 0, 0, 0, 0, 2, 15
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\movieReducer.js", "JavaScript", 39, 0, 0, 0, 0, 4, 43
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\personReducer.js", "JavaScript", 42, 0, 0, 0, 0, 3, 45
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\reducers\showReducer.js", "JavaScript", 39, 0, 0, 0, 0, 4, 43
"c:\Users\Selcuk\Desktop\dark-lyst-website\store\store.js", "JavaScript", 8, 0, 0, 0, 0, 5, 13
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\accountStyles.module.css", "CSS", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\alertStyles.module.css", "CSS", 0, 0, 13, 0, 0, 2, 15
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\carouselStyles.css", "CSS", 0, 0, 82, 0, 11, 8, 101
"c:\Users\Selcuk\Desktop\dark-lyst-website\styles\changePasswordStyles.module.css", "CSS", 0, 0, 3, 0, 0, 1, 4
